Node,Metric,Mean,Median,Standard Deviation
73,degree,2.1209021055875468,1.611236149809045,0.561216125109298
74,closeness,0.05503807473948008,0.02262471934684185,0.06123587849480221
74,clustering,0.015088685216903763,0.01087473503543257,0.0017997563843899986
74,degree,2.0015120159044244,1.747504634766102,0.4712744551723249
75,closeness,0.049563508444186555,0.04152521231532402,0.034192957668189604
75,clustering,0.016069526302757597,0.016311656328794055,0.004462487225319899
75,degree,2.141306988545793,2.5951454100899696,0.705592069262678
76,closeness,0.0653027527537362,0.05316582418950344,0.0394914616581207
76,clustering,0.018853694880170635,0.013601721095473418,0.0016449371800798997
76,degree,2.5837476642408035,2.197772336999307,0.16431249392512037
77,closeness,0.09544630491950223,0.07879346381181929,0.0850305499854104
